-1	624	1
1	0	101
10	0	101
100	0	101
1000	0	1
10000	0	1
100000	0	1
100001	0	1
100002	0	1
100003	0	1
100004	0	1
100005	0	101
100006	0	101
100007	3	51
100008	0	101
100009	1	23
10001	1	71
100010	0	1
100011	0	1
100012	0	1
100013	0	1
100014	0	1
100015	0	101
100016	0	1
100017	0	1
100018	0	101
100019	0	101
10002	0	1
100020	0	101
100021	0	101
100022	0	101
100023	0	1
100024	0	101
100025	0	1
100026	0	101
100027	0	1
100028	0	1
100029	0	101
10003	0	1
100030	0	1
100031	0	1
100032	0	1
100033	0	101
100034	9	225
100035	0	1
100036	0	1
100037	0	1
100038	0	1
100039	0	1
10004	0	101
100040	0	1
100041	0	1
100042	1	119
100043	0	1
100044	1	1
100045	0	1
100046	0	101
100047	0	1
100048	0	1
100049	0	101
10005	0	101
100050	0	1
100051	0	1
100052	1	1
100053	0	1
100054	0	101
100055	0	1
100056	0	1
100057	0	1
100058	0	101
100059	0	1
10006	0	1
100060	0	1
100061	0	1
100062	0	101
100063	0	1
100064	0	1
100065	0	1
100066	4	27
100067	2	3
100068	0	1
100069	0	1
10007	0	101
100070	0	1
100071	0	101
100072	0	1
100073	0	101
100074	1	119
100075	0	1
100076	0	101
100077	0	101
100078	1	129
100079	0	101
10008	0	101
100080	0	1
100081	0	1
100082	0	101
100083	0	1
100084	0	101
100085	0	1
100086	0	1
100087	0	1
100088	1	31
100089	0	1
10009	1	11
100090	0	1
100091	0	101
100092	0	1
100093	0	1
100094	0	1
100095	0	1
100096	0	1
100097	0	1
100098	0	1
100099	0	101
1001	0	1
10010	0	101
100100	0	101
100101	0	101
100102	0	101
100103	0	1
100104	2	123
100105	0	1
100106	3	31
100107	1	121
100108	0	101
100109	0	1
10011	0	1
100110	0	1
100111	0	1
100112	0	1
100113	0	1
100114	0	1
100115	0	1
100116	0	1
100117	0	1
100118	0	1
100119	0	1
10012	0	1
100120	0	101
100121	0	1
100122	13	233
100123	0	1
100124	0	1
100125	0	1
100127	0	1
100128	0	1
100129	0	1
100130	0	1
100131	1	1
100132	0	1
100133	1	1
100134	0	1
100135	1	3
100136	0	1
100137	0	1
100138	0	1
100139	1	11
100140	0	1
100141	0	1
100142	0	1
100143	0	1
100144	0	1
100145	0	1
100146	0	1
100147	2	123
100148	0	1
100149	0	1
100150	0	1
100151	0	1
100152	0	1
100153	0	1
100154	0	1
100155	0	1
100156	0	1
100157	3	33
100158	0	1
100159	0	1
10016	0	1
100160	1	11
100161	0	1
100162	0	1
100163	0	1
100164	0	1
100165	1	103
100166	0	101
100167	0	1
100168	0	1
100169	0	1
10017	0	1
100170	0	1
100171	0	1
100172	0	1
100173	1	21
100174	0	1
100175	0	101
100176	0	1
100177	0	1
100178	0	1
100179	0	1
10018	0	1
100180	0	1
100181	1	101
100182	0	1
100183	1	111
100184	0	1
100185	0	1
100186	0	101
100187	0	1
100188	1	11
100189	0	1
10019	1	131
100190	0	1
100191	1	151
100192	0	1
100193	0	1
100194	0	1
100195	0	1
100196	0	101
100197	0	101
100198	0	1
100199	0	1
1002	0	101
10020	0	101
100200	3	63
100201	0	1
100202	0	1
100203	0	101
100204	0	1
100205	0	1
100206	0	1
100207	0	1
100208	0	1
100209	0	1
10021	0	1
100210	0	1
100211	0	1
100212	0	1
100213	0	1
100214	2	21
100215	0	1
100216	0	1
100217	1	3
100218	0	1
100219	0	1
10022	0	1
100220	0	101
100221	0	1
100222	1	1
100223	0	1
100224	1	11
100225	0	101
100226	0	101
100227	1	33
100228	0	1
100229	0	1
10023	0	101
100230	1	133
100231	0	101
100232	0	1
100233	0	1
100234	0	101
100235	0	1
100236	0	1
100237	0	101
100238	0	1
100239	0	1
10024	6	287
100240	0	1
100241	0	1
100242	0	101
100243	0	101
100244	1	21
100245	0	1
100246	0	101
100247	0	101
100248	0	101
100249	2	11
10025	0	101
100250	0	1
100251	0	1
100252	0	1
100253	0	101
100254	0	1
100255	0	1
100256	0	1
100257	0	101
100258	0	1
100259	1	109
10026	0	1
100260	1	21
100261	2	169
